YEAR,MO,DY,DLI_uv_b_mol_m2_d,DLI_uv_a_mol_m2_d,DLI_blue_mol_m2_d,DLI_green_mol_m2_d,DLI_red_mol_m2_d,DLI_farred_mol_m2_d,DLI_PAR_mol_m2_d,DLI_ePAR_mol_m2_d
2020,2,23,0.009807256918656299,0.8589065843344861,3.3261267686824105,4.404385802068535,4.801642724971314,2.2834042487829964,12.532155295722259,14.815559544505255
2020,2,24,0.013608946398360829,1.1918535187113406,4.615468044182902,6.111703893881622,6.66295366892087,3.168544098030342,17.390125606985393,20.55866970501574
2020,2,25,0.04319600800128076,3.7830492253833743,14.649906666556266,19.39909252147042,21.148808406615263,10.057241185650987,55.197807594641944,65.25504878029292
2020,2,26,0.024463045347663546,2.1424411429467045,8.296630816264003,10.986220764710284,11.977131291501498,5.6956825082002975,31.259982872475785,36.95566538067608
2020,2,27,0.014821079275947715,1.2980105122807708,5.026562363907693,6.656066184024921,7.256415129310586,3.4507626006889147,18.9390436772432,22.389806277932113
2020,2,28,0.041708390378786826,3.6527656423663437,14.14538181962129,18.73101152902182,20.42046934159152,9.71088211420637,53.29686269023463,63.007744804441
2020,2,29,0.03146035786827782,2.7552565149156973,10.669766207402583,14.128675803264803,15.403022449205755,7.324852955365699,40.201464459873144,47.52631741523884
2020,3,1,0.0411023239399958,3.5996871455816306,13.939834659758894,18.45883038395017,20.123738611396664,9.56977286287708,52.52240365510573,62.09217651798281
2020,3,2,0.028650413470234004,2.509165302550196,9.716774829858746,12.866745039750784,14.027270881938687,6.670619153748096,36.610790751548215,43.281409905296314
2020,3,3,0.04220426291961718,3.6961935033720232,14.313556768599614,18.953705193171352,20.663249029932764,9.826335138021236,53.930510991703734,63.75684612972497
2020,3,4,0.0423144568175791,3.70584413915106,14.350928979483685,19.00319267409347,20.717200071786376,9.851991365535653,54.071321725363525,63.92331309089918
2020,3,5,0.015867921306591804,1.3896915521816462,5.381598367306378,7.126197252785046,7.76895002691988,3.694496762075863,20.276745647011303,23.971242409087168
2020,3,6,0.022755039929245588,1.9928562883715961,7.717361547560884,10.219164810417444,11.140890142770534,5.298010981726848,29.07741650074886,34.37542748247571
2020,3,7,0.06341658827739208,5.553940890837075,21.5077073637835,28.480045270679152,31.048824586752765,14.765158934546287,81.03657722121541,95.8017361557617
2020,3,8,0.030523709735598516,2.673226110793862,10.35210241488797,13.708032215426794,14.944438593450064,7.1067750214931635,39.00457322376483,46.11134824525799
2020,3,9,0.046501824940154035,4.072568298754553,15.771072993078423,20.88371694913397,22.76733966222357,10.826928011083456,59.42212960443596,70.24905761551942
2020,3,10,0.02264484603128259,1.983205652592557,7.6799893366768135,10.169677329495327,11.08693910091692,5.272354754212429,28.93660576708906,34.20896052130149
2020,3,11,0.034215205317339334,2.996522409391679,11.604071479504386,15.365862826317764,16.751798495546012,7.96625864322609,43.72173280136816,51.68799144459425
2020,3,12,0.06936705876736494,6.075075222905193,23.525806751523394,31.152369240473543,33.96218084684772,16.150595220324735,88.64035683884467,104.7909520591694
2020,3,13,0.049311769338197496,4.318659511120052,16.724064370622266,22.14564771264799,24.143091229490636,11.481161812701059,63.012803312760894,74.49396512546195
2020,3,14,0.04639163104219032,4.062917662975512,15.73370078219435,20.83422946821185,22.713388620369958,10.80127178356904,59.28131887077616,70.0825906543452
2020,3,15,0.04666711578709719,4.087044252423111,15.827131309404534,20.957948170517145,22.848266225003982,10.865412352355085,59.63334570492566,70.49875805728075
2020,3,16,0.06198406760388045,5.428482625709565,21.021868622290558,27.83670801869161,30.34746104265583,14.43162797685888,79.206037683638,93.63766566049688
2020,3,17,0.08821021531894498,7.725333941120904,29.916454812699726,39.6147284781558,43.1878090038151,20.537810125289838,112.71899229467061,133.25680241996045
2020,3,18,0.07608888654307433,6.663764005426587,25.805511615451792,34.171105576722766,37.25319439991795,17.7156250987041,97.22981159209252,114.94543669079661
2020,3,19,0.0467222127360786,4.09186957031263,15.845817414846572,20.982691910978204,22.875241745930794,10.878240466112286,59.70375107175557,70.58199153786785
2020,3,20,0.03129506702133592,2.7407805612471363,10.613707891076475,14.054444581881626,15.322095886425338,7.286368614094077,39.990248359383436,47.276616973477516
2020,3,21,0.05465617338937629,4.7867153464034535,18.536616598499766,24.54579053737074,26.75971675939074,12.725488847150224,69.84212389526124,82.56761274241147
2020,3,22,0.1014334830744406,8.883410234605615,34.40112011878838,45.55322618881001,49.661934026248346,23.616557427019735,129.61628033384673,153.23283776086646
2020,3,23,0.10413323357452052,9.119850811192073,35.31673928544814,46.76566947140191,50.983734551661804,24.24513500112292,133.06614330851187,157.3112783096348
2020,3,24,0.10479439696229315,9.17775462586631,35.54097255075258,47.062594356934625,51.30744080278346,24.399072366209417,133.91100771047067,158.3100800766801
2020,3,25,0.10534536645210688,9.226007804761506,35.72783360517294,47.31003176154521,51.57719601205151,24.527353503781498,134.61506137876967,159.14241488255118
2020,3,26,0.10192935561527006,8.926838095611288,34.5692950677667,45.77591985295954,49.9047137145896,23.732010450834608,130.24992863531583,153.98193908615045
2020,3,27,0.0932240376762364,8.16443786906719,31.616890407925005,41.86640886011218,45.64258140815438,21.70516847719576,119.12588067619156,140.8310491533873
2020,3,28,0.09537281868650402,8.352625266758453,32.34564852016441,42.83141473809349,46.69462672429977,22.205464913726868,121.87168998255768,144.07715489628455
2020,3,29,0.05575811236899839,4.883221704193849,18.910338707340486,25.040665346591915,27.29922717792684,12.982051122294381,71.25023123185925,84.23228235415363
2020,3,30,0.09256287428846091,8.106534054392952,31.392657142620575,41.56948397457948,45.31887515703271,21.551231112109264,118.28101627423275,139.83224738634203
2020,3,31,0.0988439264723226,8.656620293798188,33.52287316301268,44.39027038714023,48.3940845426885,23.013636080430963,126.30722809284141,149.32086417327238
2020,4,1,0.10622691763580709,9.30321289099382,36.02681129224551,47.70593160892216,52.008804346880396,24.732603323896825,135.74154724804805,160.4741505719449
2020,4,2,0.07399520248178774,6.4804019256248395,25.095439608654416,33.230843439202516,36.22812460469936,17.228156775930195,94.55440765255629,111.7825644284865
2020,4,3,0.06214935845082217,5.442958579378123,21.077926938616667,27.910939240074786,30.428387605436242,14.470112318130498,79.4172537841277,93.8873661022582
2020,4,4,0.10870628033996209,9.5203521960222,36.86768603713713,48.81939992966983,53.22270278858663,25.309868442971172,138.9097887553936,164.21965719836479
2020,4,5,0.11322423015642226,9.916028262962808,38.399946683384094,50.84838664747668,55.43469550458466,26.36177377106222,144.68302883544544,171.04480260650766
2020,4,6,0.1110203521971727,9.723015547382026,37.65250246570265,49.85863702903431,54.355674667512446,25.84864922077391,141.8668141622494,167.71546338302332
2020,4,7,0.1080451169521875,9.462448381347965,36.643452771832706,48.52247504413712,52.89899653746497,25.155931077884684,138.0649243534348,163.22085543131948
2020,4,8,0.10170896781934496,8.907536824053212,34.49455064599856,45.676944891115305,49.796811630882374,23.680697995805776,129.96830716799624,153.649005163802
2020,4,9,0.10341697323776221,9.057121678628318,35.07381991470167,46.44400084540814,50.63305277961334,24.078369522279218,132.15087353972314,156.22924306200238
