YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS2M,country,UV_B_W_m2_280_4000,UV_A_W_m2_280_4000,Blue_W_m2_280_4000,Green_W_m2_280_4000,Red_W_m2_280_4000,FarRed_W_m2_280_4000,NIR_W_m2_280_4000,SW_IR_W_m2_280_4000,IR_Tail_W_m2_280_4000,crop,m49_code,Unit,yield_t_ha
2020,1,2,13,0.33,0.67,0.19,3.45,92.54,4.34,Belgium,0.0002030858448788,0.014800928390723,0.0455350015020865,0.049333478206863,0.0455088181700943,0.0194027759958279,0.088436181491518,0.0620174320383189,0.0025585831873998,Tomatoes,'056,kg/ha,502419.4
2020,1,2,14,0.21,0.36,0.12,3.3,94.11,4.28,Belgium,0.000129236446741,0.0094187726122782,0.0289768191376914,0.0313940315861855,0.0289601570173327,0.0123472210882541,0.0562775700400569,0.0394656385698393,0.0016281893010726,Tomatoes,'056,kg/ha,502419.4
2020,1,2,15,0.04,0.05,0.05,3.1,96.26,4.26,Belgium,2.461646604592e-05,0.0017940519261482,0.005519394121465,0.0059798155402258,0.0055162203842538,0.0023518516358579,0.010719537150487,0.0075172644894932,0.0003101312954424,Tomatoes,'056,kg/ha,502419.4
2020,1,2,16,0.0,0.0,0.0,3.14,97.65,4.48,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,17,0.0,0.0,0.0,3.38,98.05,4.67,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,18,0.0,0.0,0.0,3.67,98.47,4.84,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,19,0.0,0.0,0.0,4.04,98.27,4.94,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,20,0.0,0.0,0.0,4.5,97.99,5.1,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,21,0.0,0.0,0.0,4.98,97.69,5.23,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,22,0.0,0.0,0.0,5.42,97.58,5.46,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
