ADMIN,ISO_A3,lat,lon
Rwanda,RWA,-1.990230754891225,29.919538635486106
Russia,RUS,60.00448507908211,92.88393779050534
Romania,ROU,45.825735970830536,24.975757477134117
Qatar,QAT,25.30446022039984,51.18374246078315
Portugal,PRT,39.557533623515276,-8.527021555655026
Poland,POL,52.07744826779265,19.40600726741956
Philippines,PHL,11.712955558380191,122.74557991143944
Peru,PER,-9.086354581143368,-74.27327325337423
Paraguay,PRY,-23.18938499287832,-58.40773729215344
Papua New Guinea,PNG,-6.4562326082371335,145.15749602348913
Panama,PAN,8.516598570633832,-80.11651925777471
Palau,PLW,7.285461970251562,134.39369695429878
Pakistan,PAK,29.816656172428637,69.10977097916327
Oman,OMN,20.571902557817655,56.04278829070321
Norway,-99,65.92178023357948,12.859278404505497
North Korea,PRK,40.12753094522535,127.13710657156722
Nigeria,NGA,9.575974705605894,8.077564035073783
Niger,NER,17.370143697078483,9.334008805985532
Nicaragua,NIC,12.842466069318135,-85.02340688291137
New Zealand,NZL,-41.63263136877886,171.49112752058863
Niue,NIU,-19.049444845491244,-169.8699026801689
Cook Islands,COK,-21.219270954525165,-159.78723675579022
Netherlands,NLD,51.96190465792413,4.915722242577515
Aruba,ABW,12.520872648021763,-69.98264959219954
Curaçao,CUW,12.195483428680912,-68.9710710233073
Nepal,NPL,28.239092479270546,83.9324177203685
Nauru,NRU,-0.5191258568782074,166.9325630902873
Namibia,NAM,-22.04027635661027,17.178755212486966
Mozambique,MOZ,-17.16457423758675,35.53252245248102
Morocco,MAR,29.675846428887777,-8.661650880944661
Western Sahara,ESH,24.19503791078472,-12.25662188597298
Montenegro,MNE,42.78688045485099,19.23832906506499
Mongolia,MNG,46.71838241239719,103.02004056420365
Moldova,MDA,47.18348339968995,28.46127157281108
Monaco,MCO,43.75274511416886,7.406274959701895
Mexico,MEX,23.756871540172376,-102.00424002159852
Mauritius,MUS,-20.277561018631378,57.571144781470565
Mauritania,MRT,20.18871637311718,-10.35658691670659
Malta,MLT,35.92141946569445,14.405338221974462
Mali,MLI,17.26794033964721,-3.5769570886956648
Maldives,MDV,3.7284118950056437,73.45557042761837
Malaysia,MYS,3.78693984330249,109.67427211479622
Malawi,MWI,-13.200600110419387,34.27190135916745
Madagascar,MDG,-19.296704723106302,46.68562282973591
North Macedonia,MKD,41.5930116652505,21.680451420694286
Luxembourg,LUX,49.76653413218361,6.072059004143311
Lithuania,LTU,55.314915298142445,23.89300044651105
Liechtenstein,LIE,47.136609371315494,9.535746635719388
Libya,LBY,26.931839184039614,18.035449604600313
Liberia,LBR,6.450699407512558,-9.319465566894516
Lesotho,LSO,-29.577578924673652,28.227929834679166
Lebanon,LBN,33.92077466815616,35.877378895375756
Latvia,LVA,56.84316799397389,24.917173189003435
Laos,LAO,18.472586396626625,103.7214041486254
Kyrgyzstan,KGZ,41.44555379299821,74.50475615368758
Kuwait,KWT,29.33233990235249,47.58665326432135
Kosovo,-99,42.56933974571056,20.87232316875316
Kiribati,KIR,0.8656519383009401,-45.42015752521902
Kenya,KEN,0.5989027956873131,37.77811943472092
Kazakhstan,KAZ,47.93885803617216,67.1273697735324
Jordan,JOR,31.23248939136285,36.75547594880412
Japan,JPN,37.35322846310501,137.44677555542697
Jamaica,JAM,18.15674704083946,-77.3142362369561
Italy,ITA,42.66128960293195,12.16242087296659
Israel,ISR,31.43061657228355,34.9878277019147
Palestine,PSE,31.914707195283995,35.19513487362596
Ireland,IRL,53.15487970825206,-8.142888422760985
Iraq,IRQ,32.984678956537486,43.74531274972698
Iran,IRN,32.42045667275837,54.32792922097215
Indonesia,IDN,-2.2051474687176427,117.1068958709132
